ID,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
30,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,red
31,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,red
32,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,red
33,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,red
34,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,red
35,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,red
36,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,red
37,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,red
38,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,red
39,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,red
40,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,red
41,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,red
42,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,red
43,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,red
44,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,red
45,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,red
46,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,red
47,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,red
48,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,red
49,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,red
50,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,red
51,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,red
52,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,red
53,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,red
54,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,red
55,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,red
56,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,red
57,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,red
58,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,red
59,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,red
60,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,red
61,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,red
62,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,red
63,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,red
64,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7,red
65,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6,red
66,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,red
67,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,red
68,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,red
69,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5,red
70,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,red
71,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,red
72,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6,red
73,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,red
74,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,red
75,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,red
76,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,red
77,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,red
78,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,red
79,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,red
80,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,red
81,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5,red
82,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5,red
83,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,red
84,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,red
85,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,red
86,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5,red
87,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6,red
88,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,red
89,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,red
90,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,red
91,10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,red
92,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,red
93,11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,red
94,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,red
95,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,red
96,7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,red
97,9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6,red
98,8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5,red
99,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,red
100,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,red
101,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,red
102,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,red
103,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,red
104,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,red
105,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,red
106,11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,red
107,12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6,red
108,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,red
109,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5,red
110,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,red
111,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,red
112,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,red
113,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,red
114,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,red
115,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,red
116,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,red
117,10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,red
118,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,red
119,7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,red
120,11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,red
121,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,red
122,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6,red
123,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,red
124,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,red
125,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6,red
126,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,red
127,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6,red
128,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,red
129,12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,red
130,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5,red
131,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,red
132,10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,red
133,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,red
134,11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,red
135,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,red
136,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,red
137,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,red
138,11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6,red
139,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,red
140,15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,red
141,10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,red
142,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,red
143,8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6,red
144,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6,red
145,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,red
146,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,red
147,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5,red
148,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,red
149,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,red
150,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,red
151,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,red
152,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,red
153,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,red
154,9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6,red
155,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,red
156,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7,red
157,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,red
158,12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5,red
159,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,red
160,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,red
161,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,red
162,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,red
163,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5,red
164,14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6,red
165,9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5,red
166,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,red
167,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,red
168,5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,red
169,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,red
170,15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,red
171,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,red
172,9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,red
173,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,red
174,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,red
175,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4,red
176,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5,red
177,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,red
178,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7,red
179,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5,red
180,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8,red
181,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,red
182,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,red
183,9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5,red
184,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,red
185,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6,red
186,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6,red
187,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,red
188,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6,red
189,8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6,red
190,9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,7,red
191,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6,red
192,10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,red
193,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6,red
194,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5,red
195,11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,red
196,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,red
197,10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,red
198,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,red
199,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,red
200,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6,red
201,9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5,red
202,7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7,red
203,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,red
204,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5,red
205,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,red
206,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5,red
207,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,red
208,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,red
209,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5,red
210,9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,red
211,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,red
212,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,red
213,9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5,red
214,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,red
215,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,red
216,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,red
217,10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,red
218,13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5,red
219,8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6,red
220,8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5,red
221,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5,red
222,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,red
223,9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5,red
224,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,red
225,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6,red
226,7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5,red
227,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6,red
228,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5,red
229,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,red
230,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,red
231,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,red
232,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,red
233,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,red
234,9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5,red
235,11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,red
236,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6,red
237,7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5,red
238,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,red
239,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,red
240,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,red
241,9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6,red
242,7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,red
243,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6,red
244,7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,red
245,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,red
246,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,red
247,9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7,red
248,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,red
249,8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,red
250,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,red
251,12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6,red
252,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,red
253,9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,6,red
254,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,red
255,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,red
256,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,red
257,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,red
258,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5,red
259,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,red
260,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,red
261,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5,red
262,8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,red
263,8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,red
264,11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7,red
265,7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4,red
266,10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7,red
267,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,red
268,7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6,red
269,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,red
270,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,red
271,8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,red
272,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,red
273,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,red
274,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,red
275,9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5,red
276,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,red
277,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6,red
278,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,red
279,8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,red
280,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,red
281,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,red
282,6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5,red
283,9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7,red
284,8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7,red
285,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,5,red
286,9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6,red
287,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,red
288,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,red
289,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,red
290,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7,red
291,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5,red
292,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5,red
293,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6,red
294,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6,red
295,9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7,red
296,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,red
297,8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6,red
298,7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6,red
299,8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7,red
300,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,red
301,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,red
